Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,4.2197,4.2676,13.602,2.1254,1.442,3,-403150,6.6629,11.529,18.819,2.7723,2.7723,14.906,0.82235,0.82235,13.602,1.442,1.442,15.272,1.389,1.389
0.026702,4.1926,4.1932,13.603,2.323,1.3513,4,-400540,5.7705,13.128,15.085,1.4262,1.4262,14.089,1.8372,1.8372,12.158,0.64309,0.64309,13.603,0.10916,0.10916
0.053402,4.176,4.1766,11.525,2.1871,1.0842,4,-399540,4.847,11.622,12.297,0.98185,0.98185,12.076,1.6356,1.6356,10.195,0.68546,0.68546,11.525,0.087422,0.087422
0.080102,4.1642,4.2264,8.822,0.58717,0.58717,3,-399200,4.4278,10.472,10.536,0.61944,0.61944,10.613,1.5713,1.5713,8.822,0.58717,0.58717,10.073,0.2861,0.2861
0.1068,4.1552,4.2125,7.4533,0.68281,0.68281,3,-398730,3.8237,9.3037,8.8957,0.57759,0.57759,9.095,1.2845,1.2845,7.4533,0.68281,0.68281,8.5989,0.19586,0.19586
0.13351,4.148,4.1952,5.9989,0.44198,0.44198,3,-398460,2.5988,8.0419,7.1394,0.50916,0.50916,7.3362,1.103,1.103,5.9989,0.44198,0.44198,6.9047,0.15917,0.15917
0.16021,4.1421,4.1863,4.3675,0.12495,0.12495,3,-398370,1.2686,7.4442,5.3716,0.12205,0.12205,5.6153,1.3117,1.3117,4.3675,0.12495,0.12495,5.2122,0.4743,0.4743
0.18692,4.1371,4.1809,1.9789,0.38851,0.38851,3,-398590,-0.86873,6.9894,2.9829,0.2788,0.2788,3.2129,1.0716,1.0716,1.9789,0.38851,0.38851,2.8319,0.28306,0.28306
0.21362,4.1325,4.1761,-0.75489,0.33807,0.33807,3,-398950,-3.4871,7.0737,0.18789,0.24976,0.24976,0.4733,1.0897,1.0897,-0.75489,0.33807,0.33807,0.084243,0.30744,0.30744
0.24032,4.1281,4.1284,-2.6284,0.33298,0.33298,4,-399070,-6.6,7.2961,-2.5582,0.2453,0.2453,-2.2072,1.139,1.139,-3.6264,0.59311,0.59311,-2.6284,0.33298,0.33298
0.26703,4.1235,4.1739,-6.2841,0.27657,0.27657,3,-399700,-9.462,8.2049,-5.305,0.18435,0.18435,-4.8595,1.2969,1.2969,-6.2841,0.27657,0.27657,-5.3281,0.43575,0.43575
0.29373,4.1183,4.1766,-8.6431,0.67631,0.67631,3,-399890,-12.287,9.1919,-7.5389,0.5107,0.5107,-7.0002,1.1469,1.1469,-8.6431,0.67631,0.67631,-7.5343,0.18358,0.18358
0.32044,4.1121,4.1731,-10.13,0.2105,0.2105,3,-399730,-14.404,10.567,-9.0128,0.24896,0.24896,-8.3981,1.6311,1.6311,-10.13,0.2105,0.2105,-9.0016,0.53772,0.53772
0.34714,4.1047,4.1713,-11.112,0.33032,0.33032,3,-399300,-14.991,11.561,-9.8122,0.35824,0.35824,-9.2059,1.7246,1.7246,-11.112,0.33032,0.33032,-9.8574,0.51304,0.51304
0.37383,4.0957,4.1668,-10.73,0.51501,0.51501,3,-398330,-15.759,11.47,-9.3285,0.44184,0.44184,-8.7719,1.6876,1.6876,-10.73,0.51501,0.51501,-9.4161,0.44565,0.44565
0.40053,4.0853,4.1547,-10.11,0.42549,0.42549,3,-397140,-14.676,11.265,-8.5544,0.3063,0.3063,-8.1515,1.8515,1.8515,-10.11,0.42549,0.42549,-8.7678,0.59183,0.59183
0.42723,4.074,4.1364,-8.5827,0.59182,0.59182,3,-395600,-12.664,10.243,-6.9837,0.51744,0.51744,-6.8,1.5478,1.5478,-8.5827,0.59182,0.59182,-7.3397,0.33898,0.33898
0.45393,4.0623,4.0627,-5.3373,1.8651,0.95668,4,-393520,-10.366,8.8938,-4.8787,0.49684,0.49684,-4.8831,1.4109,1.4109,-6.4706,0.58074,0.58074,-5.3373,0.29,0.29
0.48063,4.0509,4.0512,-4.1424,1.5407,0.82477,4,-392070,-8.3539,7.8924,-3.5678,0.56898,0.56898,-3.7844,1.1827,1.1827,-5.0977,0.50065,0.50065,-4.1424,0.14754,0.14754
0.50733,4.0401,4.0404,-2.8723,0.10295,0.10295,4,-390650,-6.6904,6.8361,-2.2594,0.54881,0.54881,-2.5809,1.0505,1.0505,-3.6561,0.31191,0.31191,-2.8723,0.10295,0.10295
0.53403,4.0302,4.0305,-2.3349,0.13656,0.13656,4,-389540,-5.8372,6.44,-1.7888,0.46131,0.46131,-2.0614,1.0099,1.0099,-3.1381,0.42388,0.42388,-2.3349,0.13656,0.13656
0.56073,4.0214,4.0217,-1.7901,0.26658,0.26658,4,-388530,-5.4811,6.6459,-1.4596,0.31141,0.31141,-1.4556,1.0904,1.0904,-2.6099,0.34636,0.34636,-1.7901,0.26658,0.26658
0.58743,4.0137,4.0141,-2.0673,0.39287,0.34862,4,-387870,-5.9205,7.621,-2.0451,0.37074,0.37074,-1.6391,0.99578,0.99578,-3.0117,0.59861,0.59861,-2.0673,0.20028,0.20028
0.61412,4.0068,4.0639,-4.0559,0.31096,0.31096,3,-387780,-7.2484,8.7683,-3.1985,0.0081162,0.0081162,-2.4813,1.3974,1.3974,-4.0559,0.31096,0.31096,-2.9901,0.59023,0.59023
0.64082,4.0001,4.0026,-4.1715,0.88746,0.1847,1,-387180,-8.5758,9.3658,-4.1715,0.04957,0.04957,-3.2667,1.3535,1.3535,-4.8046,0.15922,0.15922,-3.8201,0.53608,0.53608
0.66752,3.9935,3.9961,-5.4034,0.70248,0.33219,1,-386900,-9.7618,9.9905,-5.4034,0.33219,0.33219,-4.366,1.0668,1.0668,-6.2587,0.98149,0.98149,-4.9519,0.2509,0.2509
0.69422,3.9868,4.0541,-7.2504,0.71864,0.42955,3,-386790,-11.025,10.301,-6.5605,0.028696,0.028696,-5.4565,1.366,1.366,-7.2504,0.42955,0.42955,-6.053,0.5502,0.5502
0.72092,3.9799,4.0508,-8.3553,0.78748,0.54111,3,-386450,-12.002,10.282,-7.5798,0.011926,0.011926,-6.4633,1.4032,1.4032,-8.3553,0.54111,0.54111,-7.0707,0.57575,0.57575
0.74762,3.9727,4.0422,-9.5034,0.90714,0.62151,3,-386090,-13.563,10.364,-8.7835,0.18726,0.18726,-7.6642,1.2456,1.2456,-9.5034,0.62151,0.62151,-8.2704,0.40783,0.40783
0.77432,3.965,4.0354,-11.347,0.94026,0.57689,3,-385890,-15.184,10.683,-10.541,0.13456,0.13456,-9.4573,1.3813,1.3813,-11.347,0.57689,0.57689,-10.076,0.49686,0.49686
0.80102,3.9567,3.9595,-11.872,2.6173,1.2727,1,-385240,-17,10.559,-11.872,0.0038168,0.0038168,-10.872,1.6167,1.6167,-12.782,0.36321,0.36321,-11.503,0.67361,0.67361
0.82772,3.9473,3.9502,-14.028,2.3773,1.7972,1,-384960,-19.319,11.076,-14.028,0.29462,0.29462,-13.16,1.5092,1.5092,-15.153,0.67218,0.67218,-13.803,0.46066,0.46066
0.85442,3.9361,4.0121,-17.35,1.9584,0.82601,3,-384860,-21.769,11.705,-15.875,0.48344,0.48344,-15.241,1.6304,1.6304,-17.35,0.82601,0.82601,-15.9,0.39839,0.39839
0.88112,3.9218,4.0067,-20.189,1.965,1.0696,3,-384310,-25.839,13.396,-18.15,0.80104,0.80104,-17.801,1.8321,1.8321,-20.189,1.0696,1.0696,-18.516,0.29161,0.29161
0.90783,3.9009,3.9017,-21.372,4.0233,2.2408,4,-382650,-31.178,18.18,-20.314,0.79588,0.79588,-20.481,3.132,3.132,-23.849,1.3862,1.3862,-21.372,0.81843,0.81843
0.93453,3.857,3.8592,-25.161,11.455,7.3719,4,-379520,-54.633,54.52,-19.198,3.64,3.64,-23.119,9.4134,9.4134,-33.219,6.4844,6.4844,-25.161,1.6223,1.6223
0.96123,3.6818,3.7884,57.717,155.6,150.68,3,-338310,-394.12,629.87,538.47,58.994,58.994,60.179,153.14,153.14,57.717,147.66,147.66,173.21,20.532,20.532
0.98793,2.9499,2.9599,-0.25019,0.59571,0.59571,1,-284690,-17.886,37.512,-0.25019,0.59571,0.59571,2.2479,5.727,5.727,-5.3513,4.1826,4.1826,0.073431,2.0624,2.0624
1.0146,2.9476,3.1971,-5.7355,3.7945,3.7945,3,-286080,-16.863,32.849,0.0279,0.98796,0.98796,0.80556,5.4469,5.4469,-5.7355,3.7945,3.7945,-0.9542,1.6873,1.6873
1.0413,2.9469,3.2044,-6.1574,4.0809,4.0809,3,-286140,-18.454,33.85,0.18903,1.2631,1.2631,0.5478,5.6031,5.6031,-6.1574,4.0809,4.0809,-1.2098,1.5807,1.5807
1.068,2.9464,3.2171,-6.6171,4.3114,4.3114,3,-286230,-19.397,35.461,0.27582,1.3714,1.3714,0.37814,5.9772,5.9772,-6.6171,4.3114,4.3114,-1.4211,1.6601,1.6601
1.0947,2.946,3.2329,-6.755,4.4834,4.4834,3,-286230,-20.406,37.442,0.65359,1.3236,1.3236,0.62883,6.4748,6.4748,-6.755,4.4834,4.4834,-1.2531,1.8936,1.8936
1.1214,2.9456,3.2464,-7.0853,4.7917,4.7917,3,-286290,-21.705,39.261,0.75273,1.596,1.596,0.62313,6.599,6.599,-7.0853,4.7917,4.7917,-1.3316,1.7869,1.7869
1.1481,2.9452,3.2621,-7.4187,5.2354,5.2354,3,-286350,-23.073,41.12,0.90712,1.8733,1.8733,0.64643,6.785,6.785,-7.4187,5.2354,5.2354,-1.3815,1.6941,1.6941
1.1748,2.9448,3.2781,-7.6392,5.6356,5.6356,3,-286370,-23.415,43.591,1.3147,2.0367,2.0367,0.8087,7.2228,7.2228,-7.6392,5.6356,5.6356,-1.279,1.757,1.757
1.2015,2.9444,2.9463,-1.0359,2.0708,2.0708,4,-284390,-24.593,45.709,1.7938,1.9488,1.9488,1.1589,7.8463,7.8463,-7.7557,5.6584,5.6584,-1.0359,2.0708,2.0708
1.2282,2.9439,3.3183,-8.2128,6.2991,6.2991,3,-286450,-26.084,48.585,2.1067,2.3083,2.3083,1.303,8.1705,8.1705,-8.2128,6.2991,6.2991,-1.0238,1.9964,1.9964
1.2549,2.9435,2.9456,-0.92486,2.0439,2.0439,4,-284270,-27.229,51.377,2.5798,2.5076,2.5076,1.4498,8.6458,8.6458,-8.4649,6.8051,6.8051,-0.92486,2.0439,2.0439
1.2816,2.9429,3.3686,-9.1139,6.978,6.978,3,-286620,-29.476,55.157,3.0086,2.5415,2.5415,1.6048,9.572,9.572,-9.1139,6.978,6.978,-0.94577,2.4143,2.4143
1.3083,2.9423,2.9448,-0.888,2.3966,2.3966,4,-284150,-31.37,59.526,3.5975,2.9969,2.9969,1.8394,10.18,10.18,-9.7706,7.9624,7.9624,-0.888,2.3966,2.3966
