Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0.59457,4.0325,4.0325,-5.622,0.60354,0.68411,2,-390720,-6.7815,1.3244,-5.2309,0.19727,0.19727,-5.622,0.20727,0.20727,-5.4421,0.42365,0.42365,-6.1624,0.14372,0.14372
0.61935,4.0247,4.041,-5.7839,1.1664,0.25102,3,-390010,-6.975,2.186,-5.2893,0.19355,0.19355,-5.3262,0.7087,0.7087,-5.7839,0.037082,0.037082,-6.5793,0.37728,0.37728
0.64413,4.0173,4.0183,-5.5776,0.62976,0.58306,1,-389250,-7.5425,3.3466,-5.5776,0.20434,0.20434,-5.3145,0.3667,0.3667,-5.9018,0.25886,0.25886,-5.5152,0.035609,0.035609
0.6689,4.0104,4.0426,-6.3327,1.1207,0.15834,3,-388800,-8.0005,4.2752,-5.9538,0.27054,0.27054,-5.4709,0.8525,0.8525,-6.3327,0.15834,0.15834,-5.7247,0.51269,0.51269
0.69367,4.0037,4.004,-5.8234,0.792,0.43422,4,-388000,-8.6197,5.0007,-6.2206,0.036977,0.036977,-5.5413,0.50997,0.50997,-6.4288,0.34855,0.34855,-5.8234,0.1814,0.1814
0.71844,3.997,3.9973,-6.3036,0.94408,0.8216,4,-387490,-9.4089,5.2164,-6.7789,0.11779,0.11779,-6.006,0.64646,0.64646,-6.9279,0.1973,0.1973,-6.3036,0.3218,0.3218
0.74321,3.9903,4.0299,-7.5701,0.77383,0.50281,3,-387220,-9.8864,5.635,-7.4357,0.098258,0.098258,-6.5841,0.4103,0.4103,-7.5701,0.50281,0.50281,-6.8884,0.092208,0.092208
0.76798,3.9834,4.0282,-8.4195,0.89982,0.75661,3,-386810,-10.756,5.8264,-8.175,0.092133,0.092133,-7.3114,0.4262,0.4262,-8.4195,0.75661,0.75661,-7.623,0.10335,0.10335
0.79276,3.9764,3.9768,-8.6021,0.83147,1.3148,4,-386180,-11.741,5.5154,-9.1478,0.013749,0.013749,-8.2956,0.52499,0.52499,-9.3608,0.55602,0.55602,-8.6021,0.20596,0.20596
0.81753,3.969,4.0036,-10.632,1.5175,0.1575,3,-386060,-12.458,5.2572,-10.513,0.097264,0.097264,-9.7475,0.63277,0.63277,-10.632,0.1575,0.1575,-10.046,0.30448,0.30448
0.8423,3.961,3.9968,-12.249,1.6017,0.27219,3,-385770,-14.536,4.9282,-11.991,0.094842,0.094842,-11.315,0.66817,0.66817,-12.249,0.27219,0.27219,-11.604,0.32594,0.32594
0.86707,3.9522,3.9853,-14.105,1.3471,0.51218,3,-385460,-16.343,4.4299,-13.756,0.14465,0.14465,-13.216,0.45744,0.45744,-14.105,0.51218,0.51218,-13.486,0.10479,0.10479
0.89184,3.9419,3.943,-15.684,0.64109,0.62447,1,-384930,-18.156,3.6638,-15.684,0.34609,0.34609,-15.359,0.31589,0.31589,-15.985,0.32314,0.32314,-15.594,0.069745,0.069745
0.91662,3.9291,3.951,-18.964,1.0109,0.4785,3,-384650,-20.947,3.0346,-18.317,0.35969,0.35969,-18.326,0.37292,0.37292,-18.964,0.4785,0.4785,-18.499,0.058983,0.058983
0.94139,3.911,3.9289,-22.513,1.3075,0.45913,3,-383950,-24.573,2.267,-21.594,0.38871,0.38871,-22.018,0.3788,0.3788,-22.513,0.45913,0.45913,-22.082,0.09035,0.09035
0.96617,3.8752,3.8996,-30.002,2.1668,0.96037,3,-382690,-32.566,3.1461,-28.615,0.77906,0.77906,-29.374,0.25876,0.25876,-30.002,0.96037,0.96037,-29.404,0.38257,0.38257
0.99094,2.9355,2.9385,-2.0745,0.043439,0.043439,4,-283840,-23.338,42.336,-6.65,0.87274,0.87274,0.01666,1.9537,1.9537,-7.5027,5.1689,5.1689,-2.0745,0.043439,0.043439
1.0157,2.9334,3.0991,-5.6034,2.8513,2.8513,3,-284680,-14.585,21.664,-1.589,0.42525,0.42525,-1.3856,3.8818,3.8818,-5.6034,2.8513,2.8513,-2.4775,1.3486,1.3486
1.0405,2.9342,3.0938,-6.4101,3.0301,3.0301,3,-284990,-16.023,21.471,-1.4234,0.91177,0.91177,-2.3482,3.8603,3.8603,-6.4101,3.0301,3.0301,-3.2537,1.02,1.02
1.0653,2.9346,3.1056,-6.6593,3.2489,3.2489,3,-285100,-17.011,23.413,-0.93217,0.99767,0.99767,-2.3502,4.3295,4.3295,-6.6593,3.2489,3.2489,-3.2406,1.1323,1.1323
1.09,2.9348,3.1174,-6.6261,3.3913,3.3913,3,-285110,-17.916,25.131,-0.34224,1.1921,1.1921,-1.9568,4.6024,4.6024,-6.6261,3.3913,3.3913,-2.9118,1.1359,1.1359
1.1148,2.9349,3.1291,-7.0213,3.4083,3.4083,3,-285230,-19.386,27.018,-0.23723,1.1713,1.1713,-2.0967,5.0618,5.0618,-7.0213,3.4083,3.4083,-3.0758,1.3181,1.3181
1.1396,2.9349,3.1427,-7.1463,4.0492,4.0492,3,-285270,-20.205,29.327,0.17493,1.695,1.695,-1.7838,5.0807,5.0807,-7.1463,4.0492,4.0492,-2.8607,1.0108,1.0108
1.1644,2.9349,3.158,-7.122,4.0277,4.0277,3,-285260,-21.054,30.955,0.66426,1.5422,1.5422,-1.3201,5.6854,5.6854,-7.122,4.0277,4.0277,-2.5106,1.3624,1.3624
1.1891,2.9348,2.9361,-2.5998,1.2782,1.2782,4,-283930,-21.749,33.071,0.69796,1.7922,1.7922,-1.3236,5.8504,5.8504,-7.4747,4.3694,4.3694,-2.5998,1.2782,1.2782
1.2139,2.9347,3.1875,-7.39,4.4724,4.4724,3,-285320,-23.282,34.853,1.1662,1.7666,1.7666,-0.88077,6.2729,6.2729,-7.39,4.4724,4.4724,-2.2468,1.4676,1.4676
