Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
0,4.2446,4.2409,15.479,0.85552,0.49603,2,-405010,19.223,10.598,17.294,0.26496,0.26496,15.479,0.49603,0.49603,15.69,0.64447,0.64447,21.69,0.28032,0.28032
0.024776,4.2165,4.2004,13.188,4.7734,4.7734,2,-402970,13.51,2.9076,13.548,0.45336,0.45336,13.188,4.7734,4.7734,13.188,0.12406,0.12406,14.597,0.42025,0.42025
0.049552,4.1997,4.1996,11.088,0.48765,0.23725,1,-401960,10.612,1.2602,11.088,0.13526,0.13526,10.893,0.042997,0.042997,10.893,0.042906,0.042906,11.479,0.096222,0.096222
0.074323,4.1876,4.1792,8.324,0.88438,0.096042,3,-401600,8.587,0.52056,9.1199,0.088478,0.088478,9.038,0.10248,0.10248,8.324,0.096042,0.096042,9.2103,0.047223,0.047223
0.099095,4.178,4.1709,6.9148,0.68148,0.20475,3,-401090,7.038,0.28902,7.6685,0.051187,0.051187,7.2221,0.11693,0.11693,6.9148,0.20475,0.20475,7.5883,0.0080618,0.0080618
0.12387,4.17,4.1647,5.4627,0.61892,0.1017,3,-400750,5.3943,0.28841,6.1679,0.14637,0.14637,5.565,0.20406,0.20406,5.4627,0.089075,0.089075,5.9788,0.10281,0.10281
0.14864,4.1632,4.1622,4.105,0.046447,0.032351,3,-400480,4.1024,0.31262,4.782,0.00034177,0.00034177,4.1281,0.023352,0.023352,4.105,0.032351,0.032351,4.5162,0.042846,0.042846
0.17341,4.157,4.157,2.7587,0.31933,0.31933,2,-400290,2.5007,0.24833,3.405,0.28422,0.28422,2.7587,0.31933,0.31933,2.76,0.31103,0.31103,3.0712,0.32773,0.32773
0.19818,4.1515,4.1531,1.4929,0.23477,0.23477,3,-400120,1.1584,0.31779,2.134,0.21348,0.21348,1.4838,0.13426,0.13426,1.4929,0.23477,0.23477,1.7379,0.16898,0.16898
0.22296,4.1463,4.1463,-0.61617,0.14648,0.14648,2,-400240,-0.94427,0.37496,0.029081,0.044441,0.044441,-0.61617,0.14648,0.14648,-0.57776,0.063667,0.063667,-0.39765,0.089238,0.089238
0.24773,4.1414,4.1425,-2.5544,0.26418,0.21911,3,-400330,-2.9259,0.50581,-1.9495,0.086933,0.086933,-2.5396,0.23391,0.23391,-2.5544,0.1623,0.1623,-2.4203,0.1301,0.1301
0.2725,4.1364,4.1389,-4.5895,0.21457,0.12923,3,-400440,-5.0712,0.54036,-3.9572,0.13958,0.13958,-4.5625,0.029988,0.029988,-4.5895,0.12923,0.12923,-4.4686,0.093661,0.093661
0.29727,4.1312,4.1357,-6.3741,0.62671,0.1899,3,-400460,-6.9476,0.49495,-5.7754,0.027963,0.027963,-6.3376,0.22642,0.22642,-6.3741,0.049928,0.049928,-6.3179,0.073438,0.073438
0.32205,4.1256,4.1305,-8.3964,0.69313,0.16468,3,-400510,-8.8568,0.51836,-7.7708,0.067538,0.067538,-8.3641,0.13913,0.13913,-8.3964,0.16468,0.16468,-8.3358,0.018228,0.018228
0.34682,4.1193,4.1215,-9.934,1.0269,0.30668,3,-400360,-10.391,0.4772,-9.2886,0.38147,0.38147,-9.8992,0.17824,0.17824,-9.934,0.30668,0.30668,-9.8612,0.33521,0.33521
0.3716,4.1123,4.1138,-10.478,0.73986,0.068685,3,-399850,-11.241,0.50114,-9.8448,0.10703,0.10703,-10.451,0.095608,0.095608,-10.478,0.019482,0.019482,-10.409,0.058233,0.058233
0.39637,4.1045,4.1045,-10.766,0.71999,0.29409,2,-399180,-11.359,0.30316,-10.132,0.086119,0.086119,-10.766,0.25713,0.25713,-10.747,0.31232,0.31232,-10.654,0.13523,0.13523
0.42115,4.096,4.096,-10.368,0.81366,0.043752,2,-398230,-10.997,0.40965,-9.7378,0.18303,0.18303,-10.368,0.043752,0.043752,-10.356,0.0242,0.0242,-10.213,0.13771,0.13771
0.44592,4.0869,4.0873,-9.7658,0.80404,0.21566,3,-397180,-10.491,0.046208,-9.0787,0.11695,0.11695,-9.7636,0.21784,0.21784,-9.7658,0.19057,0.19057,-9.5166,0.16595,0.16595
0.47069,4.0775,4.0775,-9.0029,0.95546,0.20316,2,-396050,-9.4535,0.37197,-8.2885,0.24101,0.24101,-9.0029,0.20086,0.20086,-9.0026,0.20348,0.20348,-8.6611,0.19358,0.19358
0.49547,4.068,4.067,-8.2989,1.0757,0.34116,3,-394930,-8.7167,0.2831,-7.5831,0.35986,0.35986,-8.2893,0.35083,0.35083,-8.2989,0.29363,0.29363,-7.9159,0.31482,0.31482
0.52025,4.0586,4.0564,-7.3947,0.88918,0.171,3,-393760,-7.8094,0.24103,-6.6985,0.19301,0.19301,-7.3853,0.18035,0.18035,-7.3947,0.047448,0.047448,-7.0215,0.14721,0.14721
0.54502,4.0495,4.0495,-6.8386,0.89967,0.23737,2,-392720,-7.3796,0.32391,-6.1614,0.22248,0.22248,-6.8386,0.14701,0.14701,-6.8274,0.24855,0.24855,-6.5647,0.17657,0.17657
0.5698,4.0407,4.0407,-6.2955,0.72797,0.11562,2,-391710,-6.9655,0.47488,-5.6812,0.11365,0.11365,-6.2955,0.10168,0.10168,-6.2898,0.12135,0.12135,-6.2685,0.062628,0.062628
