Charge/Discharge [mAh],OCV [V],OCV Predicted [V],Bestfit Entropy [J mol-1 K-1],Bestfit Entropy_Upper [J mol-1 K-1],Bestfit Entropy_Lower [J mol-1 K-1],Bestfit Method,Bestfit Enthalpy [J mol-1],Raw Entropy [J mol-1 K-1],Raw Entropy Error [J mol-1 K-1],M1 Entropy [J mol-1 K-1],M1 Entropy_Upper [J mol-1 K-1],M1 Entropy_Lower [J mol-1 K-1],M2 Entropy [J mol-1 K-1],M2 Entropy_Upper [J mol-1 K-1],M2 Entropy_Lower [J mol-1 K-1],M3 Entropy [J mol-1 K-1],M3 Entropy_Upper [J mol-1 K-1],M3 Entropy_Lower [J mol-1 K-1],M4 Entropy [J mol-1 K-1],M4 Entropy_Upper [J mol-1 K-1],M4 Entropy_Lower [J mol-1 K-1]
1.2794,0.10385,0.17991,-6.9187,0.29022,0.29022,3,-12098,-10.313,10.084,-5.224,0.61063,0.61063,-4.9377,2.5038,2.5038,-6.9187,0.29022,0.29022,-5.4771,1.3995,1.3995
1.3182,0.091527,0.093687,0.95358,1.061,1.052,1,-8544.6,-2.8838,8.3997,0.95358,0.45597,0.45597,1.4373,1.8813,1.8813,-0.25579,0.39246,0.39246,0.95806,1.0565,1.0565
1.357,0.088133,0.16801,-0.31042,0.15633,0.15633,3,-8596.8,-5.3649,12.272,1.1217,0.10588,0.10588,1.7616,2.1067,2.1067,-0.31042,0.15633,0.15633,1.068,0.81978,0.81978
1.3958,0.088405,0.16404,-0.93961,0.1383,0.1383,3,-8811.9,-6.0107,12.049,0.73525,0.1585,0.1585,1.0719,2.1845,2.1845,-0.93961,0.1383,0.1383,0.42777,0.81432,0.81432
1.4345,0.088511,0.16236,-1.2273,0.22342,0.22342,3,-8908.5,-6.1167,11.995,0.65965,0.27114,0.27114,0.77133,2.1794,2.1794,-1.2273,0.22342,0.22342,0.16209,0.73964,0.73964
1.4733,0.088537,0.16823,-1.3939,0.34379,0.34379,3,-8961.1,-6.3788,12.187,0.60259,0.28905,0.28905,0.7073,2.2179,2.2179,-1.3939,0.34379,0.34379,0.083731,0.74617,0.74617
1.5121,0.08853,0.1707,-1.6934,0.3747,0.3747,3,-9050.5,-7.0458,12.347,0.35521,0.33455,0.33455,0.4482,2.2219,2.2219,-1.6934,0.3747,0.3747,-0.1875,0.7229,0.7229
1.5508,0.088496,0.17329,-1.9788,0.53961,0.53961,3,-9133.1,-7.3108,12.542,0.18988,0.44504,0.44504,0.20497,2.1837,2.1837,-1.9788,0.53961,0.53961,-0.42314,0.63755,0.63755
1.5896,0.088453,0.17834,-2.1505,0.59295,0.59295,3,-9180.5,-7.4828,12.941,0.046073,0.45435,0.45435,0.14205,2.2258,2.2258,-2.1505,0.59295,0.59295,-0.52452,0.65453,0.65453
1.6284,0.088401,0.17979,-2.443,0.60184,0.60184,3,-9263.4,-7.7222,13.116,-0.18954,0.46066,0.46066,-0.13522,2.2665,2.2665,-2.443,0.60184,0.60184,-0.79882,0.66496,0.66496
