8.036333964752043357e+01,8.031446117176932376e+01,8.028421029525708263e+01,8.026381858240054612e+01,8.024920560492502375e+01,8.023829841489441606e+01,8.022995205953637310e+01,8.022348030024596710e+01,8.021843253258361983e+01,8.021449399796576074e+01,8.018854400260255488e+01,8.018842004824590219e+01,8.018814839335955469e+01,8.018783454337960848e+01,8.018745401855508703e+01,8.018690272483500792e+01,8.018600950713721431e+01,8.018452892973296287e+01,8.018212068273223281e+01
8.036015121626624591e+01,8.031124784769886560e+01,8.028099101563539364e+01,8.026059759655247206e+01,8.024598145413254713e+01,8.023506752967273314e+01,8.022671027536912902e+01,8.022022352114591115e+01,8.021515702772175871e+01,8.021119656343915949e+01,8.018518182191148469e+01,8.018503613160972066e+01,8.018474046167028746e+01,8.018440173956267358e+01,8.018399689294830068e+01,8.018342343391185523e+01,8.018251219852729150e+01,8.018102034139420198e+01,8.017861100050387790e+01
8.035467080956883024e+01,8.030618174008793630e+01,8.027618730598258878e+01,8.025597203245557409e+01,8.024148192810729086e+01,8.023065877960689818e+01,8.022236673434275644e+01,8.021592573224342004e+01,8.021088977480391691e+01,8.020694778938678837e+01,8.018111723103467625e+01,8.018095631379593158e+01,8.018064522833873298e+01,8.018029096893602059e+01,8.017987169523101443e+01,8.017928701742545172e+01,8.017837075894320265e+01,8.017688417311501325e+01,8.017449598280967393e+01
8.034768789808619260e+01,8.029990328531496857e+01,8.027034852688407796e+01,8.025043021335430637e+01,8.023615151474645302e+01,8.022548358938229285e+01,8.021730707808029592e+01,8.021095202072675079e+01,8.020597921799715380e+01,8.020208249273933632e+01,8.017659910185933825e+01,8.017642750750368918e+01,8.017610689533424306e+01,8.017574344499260519e+01,8.017531643656128892e+01,8.017472790214692679e+01,8.017381530528216160e+01,8.017234498503898976e+01,8.016999264669698277e+01
8.034013357973509528e+01,8.029316889903384435e+01,8.026412432741412317e+01,8.024455023067648085e+01,8.023051691763393478e+01,8.022002991001789951e+01,8.021198904746724168e+01,8.020573605448345234e+01,8.020083954447585484e+01,8.019699892133185415e+01,8.017192640065717057e+01,8.017174628684354332e+01,8.017141880631311324e+01,8.017104898014571290e+01,8.017061716157093088e+01,8.017002792382402276e+01,8.016912261427511055e+01,8.016767302705358134e+01,8.016536237294371858e+01
8.033272038038239771e+01,8.028655551417026004e+01,8.025800877151765178e+01,8.023877060317973076e+01,8.022497675411258911e+01,8.021466625053787425e+01,8.020675765935186519e+01,8.020060410846988930e+01,8.019578184013791144e+01,8.019199571122229031e+01,8.016732139408291857e+01,8.016713289834001444e+01,8.016679855764381557e+01,8.016642230241437517e+01,8.016598556155904021e+01,8.016539541321992601e+01,8.016449702130431376e+01,8.016306753466531632e+01,8.016079752806174952e+01
8.032577853514793276e+01,8.028033167080822352e+01,8.025223267312766495e+01,8.023329685224263130e+01,8.021971837933818961e+01,8.020956626606181317e+01,8.020177588940819646e+01,8.019571064968879170e+01,8.019095368812233460e+01,8.018721481503183668e+01,8.016289113753822448e+01,8.016269353946236720e+01,8.016235119956786548e+01,8.016196721322707219e+01,8.016152410923325533e+01,8.016093136169433819e+01,8.016003773923517883e+01,8.015862542724660500e+01,8.015639191477141878e+01
8.031939306257845601e+01,8.027456610846653007e+01,8.024685481344872073e+01,8.022818107946308430e+01,8.021478909335266394e+01,8.020477363094832413e+01,8.019708458074330792e+01,8.019109426038728827e+01,8.018639183648417657e+01,8.018269147569120037e+01,8.015866179522893731e+01,8.015845411272762533e+01,8.015810230107715029e+01,8.015770892487999788e+01,8.015725764295046929e+01,8.015666019829174616e+01,8.015576871609050613e+01,8.015437004529947274e+01,8.015216806210575839e+01
8.031353752899583753e+01,8.026923713451253661e+01,8.024185639299479078e+01,8.022340642136055067e+01,8.021017342008090623e+01,8.020027391238204473e+01,8.019267011073912954e+01,8.018674196046227109e+01,8.018208382204781515e+01,8.017841365012699839e+01,8.015462410818568628e+01,8.015440540138270364e+01,8.015404271375001599e+01,8.015363836812828424e+01,8.015317718189096752e+01,8.015257304607250433e+01,8.015168120657982342e+01,8.015029282154374357e+01,8.014811765352051509e+01
8.030821408806144746e+01,8.026434736675223292e+01,8.023724029627052801e+01,8.021897593620003875e+01,8.020587454433388075e+01,8.019607039607744525e+01,8.018853585122343475e+01,8.018265719883152087e+01,8.017803316504235056e+01,8.017438492594966704e+01,8.015078185017739543e+01,8.015055122805674159e+01,8.015017631054922731e+01,8.014975946623293623e+01,8.014928669851059340e+01,8.014867392463119700e+01,8.014777927432771776e+01,8.014639785924148896e+01,8.014424482586528597e+01
